station_id,station,lat,long
194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789
195,Child St at North St,42.37228487344452,-71.07383824772114
195,Child Street at Brian P. Murphy Staircase,42.37197678467975,-71.07200495972165
196,Roxbury YMCA - Warren St at MLK Blvd,42.31787329345602,-71.08243077993393
197,MLK Blvd at Washington St,42.32143814183195,-71.09126061201096
199,Uphams Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.0697814822197
200,Washington St at Melnea Cass Blvd,42.332817,-71.081198
201,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946
202,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952
203,Columbia Rd at Ceylon St,42.309572,-71.0729
204,Walnut Ave at Warren St,42.324081,-71.083235
205,Bowdoin St at Quincy St,42.30785224238503,-71.06512248516083
206,Government Center - Cambridge St at Court St,42.3598253979878,-71.05979576244862
208,Oak Square - 615 Washington St,42.35057,-71.166491
210,Bennington St at Byron St,42.383532520117896,-71.01619094610214
211,Piers Park,42.36501119822304,-71.03528559207916
212,Maverick Square - Lewis Mall,42.36884408289836,-71.03977829217911
213,East Boston Neighborhood Health Center - 20 Maverick Square,42.369536,-71.039431
214,Airport T Stop - Bremen St at Brooks St,42.3741106053353,-71.0327721095473
214,Airport T Stop - Bremen St at Brooks St,42.37534192670574,-71.03128910064696
214,Airport T Stop - Bremen St at Brooks St,42.37410287664702,-71.03276431560516
215,The Eddy - New St at Sumner St,42.370744,-71.044201
216,Glendon St at Condor St,42.38240377674137,-71.03024303913116
217,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586001198456,-71.04569256305693
219,Boston East - 126 Border St,42.373312125824704,-71.0410200806291
221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696
222,Troy Boston,42.343749,-71.062256
224,Fresh Pond Reservation,42.38267827521855,-71.143478951426
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315
